Agency,Station Name,Line,Artist,Art Title,Art Date,Art Material,Art Image Link
MTA Bus Company,Mother Clara Hale Bus Depot,,Shinique Smith,Mother Hale's Garden,2013,Mosaic/Tile; Laminated glass,https://new.mta.info/agency/arts-design/collection/mother-hales-garden
NYCT,Fulton Center,A; C; J; Z; 2; 3; 4; 5,James Carpenter Design Associates; Grimshaw Architects; and Arup,Sky Reflector-Net,2014,Perforated aluminum panels and stainless steel cable,https://new.mta.info/agency/arts-design/collection/sky-reflector-net
Metro-North,Mamaroneck,New Haven,Kim Cridler,Where the Sweet Waters Fall,2014,Steel; aluminum and concrete,https://new.mta.info/agency/arts-design/collection/where-the-sweet-waters-fall
Metro-North,Pelham,New Haven,Loren Eiferman,HOME: INSIDE/OUTSIDE,2014,Steel,https://new.mta.info/agency/arts-design/collection/home-inside-outside
NYCT,Middletown Rd,6,Amanda Schachter and Alexander Levi,Cross-Bronx Waterway,2015,Stainless Steel,https://new.mta.info/agency/arts-design/collection/cross-bronx-waterway
NYCT,104 St,A,BŽatrice Coron,On the Right Track,2015,Stainless steel,https://new.mta.info/agency/arts-design/collection/on-the-right-track
NYCT,88 St,A,Haresh Lalvani,MORPHING88,2015,Stainless steel,https://new.mta.info/agency/arts-design/collection/morphings88
NYCT,Zerega Av,6,Jaime Arredondo,Garden of Earthly Delights,2015,Ceramic forms and glass mosaic,https://new.mta.info/agency/arts-design/collection/garden-of-earthly-delights
LIRR,Wyandanch Parking Garage,Ronkonkoma,Moe Brooker,Just Jazz,2015,Laminated Glass,https://new.mta.info/agency/arts-design/collection/just-jazz
LIRR,Massapequa,Babylon,Peter Drake,Waiting for Toydot,2015,Laminated glass and mosaic,https://new.mta.info/agency/arts-design/collection/waiting-for-toydot
NYCT,Castle Hill Av,6,Priscila De Carvalho,Bronx: Heart; Homeland,2015,Stainless steel,https://new.mta.info/agency/arts-design/collection/bronx-heart-homeland
NYCT,Rockaway Blvd,A,Ray King,Connections,2015,Stainless steel and glass,https://new.mta.info/agency/arts-design/collection/connections
Metro-North,North White Plains Parking Garage,Harlem,SITU Studio,Percolate,2015,Stainless Steel,https://new.mta.info/agency/arts-design/collection/percolate
NYCT,Buhre Av,6,Soonae Tark,Have a Happy Day,2015,Glass mosaic,https://new.mta.info/agency/arts-design/collection/have-a-happy-day
NYCT,34 St-Hudson Yards,7,Xenobia Bailey,Funktional Vibrations,2015,Mosaic,https://new.mta.info/agency/arts-design/collection/funktional-vibrations
NYCT,Ditmas Av,F,Cara Lynch,Inheritance: In Memory of American Glass,2016,Laminated glass,https://new.mta.info/agency/arts-design/collection/inheritance-in-memory-of-american-glass
Metro-North,Croton-Harmon,Hudson,Corinne Ulmann,Croton-Harmon Station,2016,Glass mosaic; vinyl,https://new.mta.info/agency/arts-design/collection/croton-harmon-station
Metro-North,Fordham,Harlem,Dan Funderburgh,Eureka,2016,Aluminum,https://new.mta.info/agency/arts-design/collection/eureka
NYCT,111 St,A,Linda Ganjian,Home Sweet Home,2016,Etched stainless steel,https://new.mta.info/agency/arts-design/collection/home-sweet-home
NYCT,80 St,A,Mia Pearlman,SOAR,2016,Stainless steel,https://new.mta.info/agency/arts-design/collection/soar
NYCT,Junius St,3,BŽatrice Lebreton,Paroles Vagabondes/Wisdom Along the Way,2017,Stainless steel,https://new.mta.info/agency/arts-design/collection/wisdom-along-way
NYCT,Rockaway Av,3,BŽatrice Lebreton,Paroles Vagabondes/Wisdom Along the Way,2017,Stainless steel,https://new.mta.info/agency/arts-design/collection/wisdom-along-way
NYCT,86 St,Q,Chuck Close,Subway Portraits,2017,Glass and ceramic mosaic; ceramic tile,https://new.mta.info/agency/arts-design/collection/subway-portraits
NYCT,Avenue X,F,Derek Lerner,AVEX1-6(station),2017,Laminated Glass,https://new.mta.info/agency/arts-design/collection/avex1-6-station
NYCT,Lexington Av/63 St,Q,Jean Shin,Elevated,2017,Laminated glass; glass mosaic; and ceramic tile,https://new.mta.info/agency/arts-design/collection/elevated
SIR,Arthur Kill,S,Jenna Lucente,Tottenville Sun; Tottenville Sky,2017,Laminated Glass,https://new.mta.info/agency/arts-design/collection/tottenville-sun-tottenville-sky
NYCT,Bay Ridge Av,R,Katy Fischer,Strata,2017,Mosaic and hand-glazed ceramic,https://new.mta.info/agency/arts-design/collection/strata
NYCT,53 St,R,Mickalene Thomas,Untitled,2017,Mosaic and glass,https://new.mta.info/agency/arts-design/collection/untitled-53-st
NYCT,Prospect Av,R,Monika Bravo,Duration,2017,Glass mosaic and ceramic-printed glass,https://new.mta.info/agency/arts-design/collection/duration
NYCT,Saratoga Av,3,Nancy Baker,Chandelier,2017,Painted stainless steel,https://new.mta.info/agency/arts-design/collection/chandelier-ailthanus
NYCT,Sutter Av-Rutland Rd,3,Nancy Baker,Ailanthus,2017,Painted stainless steel,https://new.mta.info/agency/arts-design/collection/chandelier-ailthanus
NYCT,96 St,Q,Sarah Sze,Blueprint for a Landscape,2017,porcelain ceramic panels,https://new.mta.info/agency/arts-design/collection/blueprint-for-landscape
NYCT,Pennsylvania Av,3,Saya Woolfalk,Urban Garden Rail,2017,Painted stainless steel,https://new.mta.info/agency/arts-design/collection/urban-garden-rail
NYCT,Van Siclen Av,3,Saya Woolfalk,Urban Garden Rail,2017,Painted stainless steel,https://new.mta.info/agency/arts-design/collection/urban-garden-rail
MTA Bus Company,Manhattanville Bus Depot,,Tomo Mori,The Wheels on the Bus,2017,Laminated glass and metal,https://new.mta.info/agency/arts-design/collection/wheels-on-bus
NYCT,72 St,Q,Vik Muniz,Perfect Strangers,2017,Glass mosaic and laminated glass,https://new.mta.info/agency/arts-design/collection/perfect-strangers
Metro-North,Harlem-125 St,City Terminal Zone,Alison Saar,copacetic,2018,Laminated glass,https://new.mta.info/agency/arts-design/collection/copacetic-hear-the-lone-whistle
NYCT,Avenue U,F,Andrea Belag,Brooklyn Transitions,2018,Laminated glass,https://new.mta.info/agency/arts-design/collection/brooklyn-transitions
NYCT,WTC Cortlandt,1,Ann Hamilton,CHORUS,2018,Marble Mosaic,https://new.mta.info/agency/arts-design/collection/chorus
LIRR,Brentwood,Ronkonkoma,Armando Mari–o,The Guardian Angel,2018,Laminated glass,https://new.mta.info/agency/arts-design/collection/guardian-angel
NYCT,Cathedral Pkwy (110 St),Port Jefferson,Christopher Wynter,Migration,2018,Glass mosaic,https://new.mta.info/agency/arts-design/collection/migration
LIRR,Bellmore,Babylon,Dan Funderburgh,SHOAL,2018,Glass Mosaic,https://new.mta.info/agency/arts-design/collection/shoal
LIRR,Port Jefferson,Port Jefferson,David McQueen,"""...the vast and endless sea""",2018,Stainless Steel,https://new.mta.info/agency/arts-design/collection/vast-endless-sea
NYCT,145 St,3,Derek Fordjour,PARADE,2018,Glass and Ceramic Mosaic,https://new.mta.info/agency/arts-design/collection/parade
NYCT,34 St-Penn Station,1;2;3,Diana Al-Hadid,The Arches of Old Penn Station; The Arc of Gradiva,2018,Glass Mosaic,https://new.mta.info/agency/arts-design/collection/arches-of-old-penn-station
NYCT,Broadway,N;W,Diane Carr,Outlook,2018,Laminated Glass,https://new.mta.info/agency/arts-design/collection/outlook
NYCT,18 Av,N,Emilio Perez,Fluxus / Rythmus,2018,Mosaic/glass,https://new.mta.info/agency/arts-design/collection/fluxus-rhythmus
SIR,Richmond Valley,SIR,Everet,A Portrayal of Life at Mill Creek,2018,Stainless,https://new.mta.info/agency/arts-design/collection/portrayal-of-life-at-mill-creek
NYCT,163 St-Amsterdam Av,C,Firelei B‡ez,Ciguapa Antellana; me llamo sueÃ±o de la madrugada (who more sci-fi than us),2018,Glass Mosaic,https://new.mta.info/agency/arts-design/collection/ciguapa-antellana-me-llamo-sueno-de-la-madrugada
Metro-North,Mount Vernon 14th Avenue Bridge,New Haven,Frances Gallardo,Line to Line,2018,Powder-coated aluminum fence panels,https://new.mta.info/agency/arts-design/collection/line-to-line
NYCT,Avenue P,F,Jackie Battenfield,Tree Canopy,2018,Laminated Glass,https://new.mta.info/agency/arts-design/collection/tree-canopy
LIRR,Merrick,Babylon,James Gulliver Hancock,Connection Cultivating Communities,2018,Ceramic mosaic and handmade ceramic tile,https://new.mta.info/agency/arts-design/collection/connection-cultivating-communities
NYCT,86 St,C;B,Joyce Kozloff,Parkside Portals,2018,Glass Mosaic and Ceramic Tile,https://new.mta.info/agency/arts-design/collection/parkside-portals
NYCT,18 Av,F,Julien Gardair,We are each others,2018,Stainless Steel,https://new.mta.info/agency/arts-design/collection/we-are-each-others
NYCT,Kings Hwy,F,Julien Gardair,We are each others,2018,Stainless Steel,https://new.mta.info/agency/arts-design/collection/we-are-each-others
NYCT,Avenue I,F,Kambui Olujimi,Where the Sky Begins,2018,Laminated Glass,https://new.mta.info/agency/arts-design/collection/where-sky-begins
NYCT,86 St,N,Karen Margolis,Cerebration,2018,Glass Mosaic,https://new.mta.info/agency/arts-design/collection/cerebration
NYCT,Bay Pkwy,F,Leslie Wayne,Neptune's Garden,2018,Laminated Glass,https://new.mta.info/agency/arts-design/collection/neptunes-garden
NYCT,Avenue N,F,Lisa Sigal,Push/Pull,2018,Laminated Glass,https://new.mta.info/agency/arts-design/collection/push-pull
LIRR,Wantagh,Babylon,Marc Dennis,Where Dreams Come to Play,2018,Laminated glass; glass mosaic,https://new.mta.info/agency/arts-design/collection/where-dreams-come-to-play
LIRR,Wyandanch,Ronkonkoma,Mary Judge,American Season,2018,Laminated glass; terrazzo floor,https://new.mta.info/agency/arts-design/collection/american-season
LIRR,Pinelawn,Ronkonkoma,Mary Judge,American Season,2018,Laminated glass,https://new.mta.info/agency/arts-design/collection/american-season
NYCT,36 Av,N;W,Maureen McQuillan,Crystal Blue Persuasion,2018,Laminated Glass,https://new.mta.info/agency/arts-design/collection/crystal-blue-persuasion
NYCT,28 St,6,Nancy Blum,ROAMING UNDERFOOT,2018,Glass Mosaic,https://new.mta.info/agency/arts-design/collection/roaming-underfoot
NYCT,167 St,B; D,Rico Gatson,Beacons,2018,Glass Mosaic,https://new.mta.info/agency/arts-design/collection/beacons
LIRR,Hicksville,Port Jefferson,Roy Nicholson,Hempstead Plain; Morning & Evening,2018,Laminated glass,https://new.mta.info/agency/arts-design/collection/hempstead-plain-morning-evening
NYCT,174-175 Sts,B; D,Roy Secord,Bronx Seasons Everchanging,2018,Glass mosaic and glazed tile,https://new.mta.info/agency/arts-design/collection/bronx-seasons-everchanging
NYCT,Avenue U,N,Sally Gil,Edges of a South Brooklyn Sky,2018,Glass mosaic,https://new.mta.info/agency/arts-design/collection/edges-of-south-brooklyn-sky
NYCT,39 Av-Dutch Kills,N; W,Sarah Morris,Hellion Equilibrium,2018,Laminated Glass,https://new.mta.info/agency/arts-design/collection/hellion-equilibrium
NYCT,30 Av,N;W,Stephen Westfall,Perasma I & II; Dappleganger,2018,Laminated Glass,https://new.mta.info/agency/arts-design/collection/perasma-dappleganger
LIRR,Stewart Manor,Hempstead,Timothy Hyunsoo Lee,Come Back Home,2018,Laminated glass,https://new.mta.info/agency/arts-design/collection/come-back-home
LIRR,Deer Park,Ronkonkoma,William Low,Deer Park Dahlias,2018,Laminated Glass,https://new.mta.info/agency/arts-design/collection/deer-park-dahlias
NYCT,23 St,F; M,William Wegman,Stationary Figures,2018,Glass Mosaic,https://new.mta.info/agency/arts-design/collection/stationary-figures
NYCT,72 St,B;C,Yoko Ono,SKY,2018,Ceramic Mosaic,https://new.mta.info/agency/arts-design/collection/sky
NYCT,57 St,F,Alex Katz,Metropolitan Faces,2019,laminated glass,https://new.mta.info/agency/arts-design/collection/metropolitan-faces
NYCT,New Utrecht Av,N,Andrea Dezsš,Nature Wall,2019,glass and ceramic mosaic,https://new.mta.info/agency/arts-design/collection/nature-wall
Metro-North,Port Chester,New Haven,Bernard Greenwald,Images of Port Chester,2019,Laminated glass in shelter windows,https://new.mta.info/agency/arts-design/collection/images-of-port-chester
NYCT,20 Av,N,David Storey,Sea City Spin,2019,Mosaic/glass,https://new.mta.info/agency/arts-design/collection/sea-city-spin
LIRR,Nostrand Avenue,City Terminal Zone,Derrick Adams,Around the Way,2019,Laminated Glass,https://new.mta.info/agency/arts-design/collection/around-the-way
NYCT,Bay Pkwy,N,Eamon Ore-Giron,People's Instinctive Travels: Homage to the Tribe,2019,Glass mosaic,https://new.mta.info/agency/arts-design/collection/peoples-instinctive-travels
NYCT,Astoria-Ditmars Blvd,N/W,Elisabeth Condon,Urban Idyll,2019,Laminated glass,https://new.mta.info/agency/arts-design/collection/urban-idyll
NYCT,Fort Hamilton Pkwy,N,Mar’a Berr’o,There is Magic Underneath It All,2019,Mosaic,https://new.mta.info/agency/arts-design/collection/there-is-magic-underneath-it-all
NYCT,5 Av/53 St,Port Jefferson,MTA Arts & Design and The Museum of Modern Art,The Subway: Design for a Modern Icon,2019,Porcelain enamel,https://new.mta.info/agency/arts-design/collection/subway-design-for-modern-icon
NYCT,8 Av,N,Olalekan Jeyifous,MADE WITH LOVE,2019,Laminated Glass,https://new.mta.info/agency/arts-design/collection/made-with-love
LIRR,Syosset,Port Jefferson,Tom Fruin,Sail,2019,Acrylic and Metal,https://new.mta.info/agency/arts-design/collection/sail
Metro-North,Crestwood,Harlem,Tricia Wright,Morning Glory; Evening Splendor; The Perennial Village,2019,Metal & Laminated Glass,https://new.mta.info/agency/arts-design/collection/morning-glory-evening-splendor
Metro-North,White Plains,Harlem,Barbara Takenaga,Forte (Quarropas); Blue Rails (White Plains),2020,Mosaic & Laminated glass,https://new.mta.info/agency/arts-design/collection/forte-quarropas-blue-rails-white-plains
LIRR,Merillon Avenue,Port Jefferson,Cara Enteles,Commuting Through Nature,2020,Laminated glass,https://new.mta.info/agency/arts-design/collection/commuting-through-nature
LIRR,Carle Place,Port Jefferson,Gail Boyajian,Aviary,2020,Laminated glass,https://new.mta.info/agency/arts-design/collection/aviary
NYCT,Grand Central-42 St,S;4;5;6;7,Jackie Ferrara,Grand Central: Arches; Towers; Pyramids,2020,Ceramic mosaic,https://new.mta.info/agency/arts-design/collection/grand-central-arches-towers-pyramids
LIRR,Jamaica,City Terminal Zone,James Little,Radiant Memories,2020,Laminated glass,https://new.mta.info/agency/arts-design/collection/radiant-memories
NYCT,Astoria Blvd,N;W,Jeffrey Gibson,I AM A RAINBOW TOO,2020,laminated glass,https://new.mta.info/agency/arts-design/collection/i-am-rainbow-too
NYCT,Grand Central-42 St,4;5;6;S,Jim Hodges,I dreamed a world and called it Love,2020,Mirrored glass,https://new.mta.info/agency/arts-design/collection/i-dreamed-a-world-and-called-it-love
Metro-North,Mount Vernon 6th Avenue Bridge,New Haven,JosuŽ Guarionex,CROSSCUT,2020,Powder-coated aluminum fence panels,https://new.mta.info/agency/arts-design/collection/crosscut
NYCT,86 St,R,Amy Bennett,Heydays,2021,Glass mosaic,https://new.mta.info/agency/arts-design/collection/heydays
NYCT,138 St-Grand Concourse,Port Jefferson,Amy Pryor,Day Into Night Into Day,2021,mosaic,https://new.mta.info/agency/arts-design/collection/day-into-night-into-day
Metro-North,Port Jervis,Port Jefferson,Armando Veve,Boat House Buggy,2021,Laminated glass,https://new.mta.info/agency/arts-design/collection/boat-house-buggy
Metro-North,Mount Vernon 3rd Avenue Bridge,New Haven,Damien Davis,Empirical Evidence,2021,Aluminum,https://new.mta.info/agency/arts-design/collection/empirical-evidence
NYCT,1 Av,L,Katherine Bradford,Queens of the Night; Superhero Responds,2021,glass mosaic,https://new.mta.info/agency/arts-design/collection/queens-of-the-night
NYCT,Bedford Av,L,Marcel Dzama,No Less Than Everything Comes Together,2021,Mosaic and printed ceramic tile,https://new.mta.info/agency/arts-design/collection/no-less-than-everything-comes-together
Metro-North,Mount Vernon 10th Avenue Bridge,New Haven,Mark Fox,40û54Õ37.9ÓN 73û50Õ33.5ÓW,2021,Powder-coated aluminum fence panels,https://new.mta.info/agency/arts-design/collection/mark-fox-mount-vernon
LIRR,New Hyde Park,Port Jefferson,Sandy Litchfield,Forestation Syncopation,2021,Laminated glass,https://new.mta.info/agency/arts-design/collection/forestation-syncopation
LIRR,Westbury,Port Jefferson,Darryl Westly,Illuminations,2022,Laminated glass; stainless steel with black paint top coat,https://new.mta.info/agency/arts-design/collection/illuminations
NYCT,Tremont Av,B;D,Frank Leslie Hampton,Uptown New York,2022,Glass mosaic,https://new.mta.info/arts-and-design/collections/uptown-new-york
LIRR,Grand Central Madison,City Terminal Zone,Kiki Smith,River Light; The Presence; The Spring; The Sound; The Water's Way,2022,Glass mosaic,https://new.mta.info/agency/arts-design/collection/river-light-presence-spring-sound-waters-way
NYCT,Times Sq-42 St,S;B;D;F;M,Nick Cave,Each One; Every One; Equal All,2022,Mosaic,https://new.mta.info/agency/arts-design/collection/each-one-every-one-equal-all
LIRR,Elmont-UBS Arena,Hempstead,Shawna X,Cyclical Everything,2022,Laminated glass; stainless steel,https://new.mta.info/agency/arts-design/collection/cyclical-everything
LIRR,Grand Central Madison,City Terminal Zone,Yayoi Kusama,A Message of Love; Directly from My Heart unto the Universe,2022,Glass mosaic,https://new.mta.info/agency/arts-design/collection/a-message-of-love-directly-from-my-heart-unto-the-universe
NYCT,181 St,1,Carmen Lizardo,Great Waves of Immigration,2023,Glass mosaic,https://new.mta.info/agency/arts-design/collection/great-waves-of-immigration
NYCT,Lorimer St,L,Chlo‘ Bass,Personal Choice #5,2023,Glass mosaic;,
NYCT,7 Av,Port Jefferson,David Rios Ferreira,Landscapes adrift-cosmically woven and earthly bonded,2023,Glass mosaic,https://new.mta.info/agency/arts-design/collection/landscapes-adrift
NYCT,34 St-Penn Station,1;2;3,Diana Al-Hadid,The Time Telling,2023,Glass mosaic,https://new.mta.info/agency/arts-design/collection/arches-of-old-penn-station
LIRR,Roosevelt Island Ventilation Structure,City Terminal Zone,Diana Cooper,Double Take,2023,Ceramic Mosiac & Steel,https://new.mta.info/agency/arts-design/collection/double-take
LIRR,Mineola,Port Jefferson,Donald Lipski,Bessie and Roxey,2023,Cast bronze; porcelain enamel plaque,https://new.mta.info/agency/arts-design/collection/bessie-and-roxey
NYCT,Grand St,L,Glendalys Medina,Gratitudes off Grand,2023,Glass mosaic,https://new.mta.info/agency/arts-design/collection/gratitudes-off-grand
NYCT,E 149 St,6,Glenn Goldberg,Bronx River,2023,Glass mosaic,https://new.mta.info/agency/arts-design/collection/bronx-river
SIR,New Dorp,City Terminal Zone,Keri Sheheen,Creeping on Where Time Has Been,2023,Laminated glass; stainless steel,https://new.mta.info/agency/arts-design/collection/creeping-on-where-time-has-been
NYCT,DeKalb Av,B;D;Q,Bill Brand,Masstransiscope,1980,Hand painted panels; Lighting,https://new.mta.info/agency/arts-design/collection/masstransiscope
NYCT,Dyckman St,1,Wopo Holup,Birds in Flight-Moon View,1991,Ceramic relief on mezzanine walls,https://new.mta.info/agency/arts-design/collection/birds-in-flight-moon-view
NYCT,Fulton St,A;C;J;Z;2;3;4;5,Frederick Dana Marsh,Marine Grill Murals; c. 1913 for the McAlpin Hotel,2000,Glazed terracotta murals and painted cast iron gates,https://new.mta.info/agency/arts-design/collection/marine-grill-murals
NYCT,Times Sq-42 St,A;C;E;N;R;S;Q;1;2;3;7,Jack Beal,The Return of Spring; The Onset of Winter,2001,Glass Mosaic,https://new.mta.info/agency/arts-design/collection/return-of-spring
NYCT,75 St,J;Z,Kathleen McCarthy,Five Points of Observation,1990,Copper wire mesh and Stainless steel,https://new.mta.info/agency/arts-design/collection/five-points-of-observation
NYCT,Cypress Hills,J;Z,Kathleen McCarthy,Five Points of Observation,1990,Copper wire mesh and Stainless steel,https://new.mta.info/agency/arts-design/collection/five-points-of-observation
NYCT,Myrtle Av,J;M;Z,Verna Hart,Jammin' Under the EL,1999,Faceted Glass,https://new.mta.info/agency/arts-design/collection/jammin-under-the-el
NYCT,Crescent St,J;Z,Jung Hyang Kim,Wheel of Bloom-Soak up the Sun,2007,Faceted glass,https://new.mta.info/agency/arts-design/collection/wheel-of-bloom-soak-up-the-sun
NYCT,Norwood Av,J Z,Margaret Lanzetta,Culture Swirl,2007,Faceted Glass,https://new.mta.info/agency/arts-design/collection/culture-swirl
NYCT,Alabama Av,J;Z,Scott Redden,Untitled,2007,Faceted glass,https://new.mta.info/agency/arts-design/collection/untitled-redden
NYCT,Woodside-61 St,7,John Cavanagh,Commuting/Community,1986,Porcelain enamel photomontage murals on steel,https://new.mta.info/agency/arts-design/collection/Commuting-Community
NYCT,Fulton St,A; C; J; Z; 2; 3; 4; 5,Nancy Holt,Astral Grating,1987,Wrought iron;  light elements,https://new.mta.info/agency/arts-design/collection/astral-grating
NYCT,5 Av/53 St,E;M,Ralph Fasanella,Subway Riders,1995,Painting - Oil,https://new.mta.info/agency/arts-design/collection/subway-riders-fasanella
NYCT,Cleveland St,J,Amy Cheng,Las Flores,2007,Faceted glass,https://new.mta.info/agency/arts-design/collection/las-flores